Beam,Date,Time,RTT(ms),Download(kbit/s),Upload(kbit/s)
106,2018-11-15,1735,599.777,1300.48,1433.6
106,2018-11-15,1740,442.574,942.08,2273.28
106,2018-11-15,1745,475.022,952.32,2283.52
106,2018-11-15,1750,474.026,890.88,2744.32
106,2018-11-15,1755,489.745,1454.08,2344.96
106,2018-11-15,1800,517.58,1771.52,1628.16
106,2018-11-15,1805,505.078,1269.76,2324.48
106,2018-11-15,1810,479.2,1290.24,1239.04
106,2018-11-15,1815,475.166,1310.72,2355.2
106,2018-11-15,1820,612.65,860.16,2549.76
106,2018-11-15,1825,499.038,962.56,1955.84
106,2018-11-15,1830,481.649,1402.88,2088.96
106,2018-11-15,1835,474.973,1351.68,2048.0
106,2018-11-15,1840,558.364,1187.84,1976.32
106,2018-11-15,1845,468.009,993.28,2304.0
106,2018-11-15,1850,478.994,1034.24,2457.6
106,2018-11-15,1855,555.778,1085.44,2109.44
106,2018-11-15,1900,461.952,860.16,1996.8
106,2018-11-15,1905,498.04,778.24,2539.52
106,2018-11-15,1910,454.546,880.64,2007.04
106,2018-11-15,1915,459.713,942.08,2170.88
106,2018-11-15,1920,480.134,890.88,1259.52
106,2018-11-15,1925,492.768,655.36,1679.36
106,2018-11-15,1930,486.765,665.6,2119.68
106,2018-11-15,1935,442.093,911.36,2816.0
106,2018-11-15,1940,451.541,1320.96,2672.64
106,2018-11-15,1945,464.731,1157.12,2416.64
106,2018-11-15,1950,453.4,1433.6,2263.04
106,2018-11-15,1955,479.29,942.08,2283.52
106,2018-11-15,2000,452.41,1228.8,2385.92
106,2018-11-15,2005,454.812,1208.32,2222.08
106,2018-11-15,2010,511.478,1054.72,2273.28
106,2018-11-15,2015,483.251,1157.12,2426.88
106,2018-11-15,2020,474.453,1218.56,2191.36
106,2018-11-15,2025,487.472,890.88,2344.96
106,2018-11-15,2030,554.185,368.64,1638.4
106,2018-11-15,2035,488.029,327.68,1884.16
106,2018-11-15,2040,505.754,419.84,2160.64
106,2018-11-15,2045,467.681,983.04,2283.52
106,2018-11-15,2050,483.712,1136.64,1146.88
106,2018-11-15,2055,443.442,849.92,2304.0
106,2018-11-15,2100,565.913,1290.24,1935.36
106,2018-11-15,2105,490.517,860.16,2211.84
106,2018-11-15,2110,482.315,870.4,2129.92
106,2018-11-15,2115,479.767,1003.52,2170.88
106,2018-11-15,2120,442.925,942.08,2406.4
106,2018-11-15,2125,476.72,1105.92,2232.32
106,2018-11-15,2130,491.028,1024.0,2478.08
106,2018-11-15,2135,487.525,1126.4,2283.52
106,2018-11-15,2140,543.726,1443.84,2140.16
106,2018-11-15,2145,456.656,1198.08,1976.32
106,2018-11-15,2150,605.415,1310.72,2713.6
106,2018-11-15,2155,450.365,1280.0,2488.32
106,2018-11-15,2200,558.986,1310.72,2334.72
106,2018-11-15,2205,501.221,993.28,2682.88
106,2018-11-15,2210,449.949,1146.88,1525.76
106,2018-11-15,2215,451.473,1382.4,2334.72
106,2018-11-15,2220,450.032,1935.36,2437.12
106,2018-11-15,2225,501.464,1843.2,2283.52
106,2018-11-15,2230,514.957,737.28,2078.72
106,2018-11-15,2235,480.009,788.48,2027.52
106,2018-11-15,2240,454.789,1392.64,2488.32
106,2018-11-15,2245,521.934,921.6,2365.44
106,2018-11-15,2250,450.345,778.24,2457.6
106,2018-11-15,2255,451.558,1095.68,2344.96
106,2018-11-15,2300,449.051,1044.48,2365.44
106,2018-11-15,2305,451.067,1075.2,2263.04
106,2018-11-15,2310,451.757,1208.32,2211.84
106,2018-11-15,2315,441.662,1382.4,2263.04
106,2018-11-15,2320,451.072,1013.76,2191.36
106,2018-11-15,2325,476.493,1054.72,2222.08
106,2018-11-15,2330,464.784,962.56,2181.12
106,2018-11-15,2335,447.659,1310.72,2232.32
106,2018-11-15,2340,446.596,1187.84,1320.96
106,2018-11-15,2345,439.826,1832.96,2150.4
106,2018-11-15,2350,428.456,1945.6,1433.6
106,2018-11-15,2355,435.086,1986.56,1658.88
106,2018-11-16,0000,431.861,1966.08,1454.08
106,2018-11-16,0005,448.381,2160.64,2273.28
106,2018-11-16,0010,471.658,1976.32,2263.04
106,2018-11-16,0015,440.215,1986.56,2344.96
106,2018-11-16,0020,435.313,1986.56,2222.08
106,2018-11-16,0025,437.778,1658.88,2293.76
106,2018-11-16,0030,458.724,1361.92,2334.72
106,2018-11-16,0035,458.182,1280.0,2283.52
106,2018-11-16,0040,481.351,1136.64,2170.88
106,2018-11-16,0045,451.654,1474.56,2826.24
106,2018-11-16,0050,458.683,1658.88,2283.52
106,2018-11-16,0055,455.272,1617.92,2344.96
106,2018-11-16,0100,461.897,1597.44,2426.88
106,2018-11-16,0105,479.287,1372.16,2273.28
106,2018-11-16,0110,498.306,1894.4,1515.52
106,2018-11-16,0115,461.168,1863.68,2283.52
106,2018-11-16,0120,443.391,1699.84,2406.4
106,2018-11-16,0125,479.463,1894.4,2416.64
106,2018-11-16,0130,474.905,1792.0,2293.76
106,2018-11-16,0135,467.066,1812.48,2826.24
106,2018-11-16,0140,455.977,1935.36,2222.08
106,2018-11-16,0145,469.115,1884.16,2283.52
106,2018-11-16,0150,464.007,1628.16,2457.6
106,2018-11-16,0155,443.725,1843.2,2775.04
106,2018-11-16,0200,447.649,1761.28,2764.8
106,2018-11-16,0205,444.72,1894.4,2918.4
106,2018-11-16,0210,470.047,1873.92,2263.04
106,2018-11-16,0215,438.232,1792.0,2406.4
106,2018-11-16,0220,447.413,1884.16,1832.96
106,2018-11-16,0225,484.568,1873.92,2355.2
106,2018-11-16,0230,430.71,1914.88,2355.2
106,2018-11-16,0235,440.602,1628.16,2273.28
106,2018-11-16,0240,435.131,1525.76,2365.44
106,2018-11-16,0245,447.704,1986.56,2283.52
106,2018-11-16,0250,438.036,1863.68,2293.76
106,2018-11-16,0255,438.557,1873.92,2426.88
106,2018-11-16,0300,441.536,1792.0,2355.2
106,2018-11-16,0305,439.29,1863.68,2283.52
106,2018-11-16,0310,437.898,1884.16,1945.6
106,2018-11-16,0315,420.903,1832.96,2846.72
106,2018-11-16,0320,452.044,2068.48,2385.92
106,2018-11-16,0325,455.985,1894.4,2273.28
106,2018-11-16,0330,452.938,1699.84,2293.76
